topic_id,run_tag,team,answer_id,assessment,reasoning
msmarco_v2.1_doc_04_420132660,03_01_Baseline,SCIAI,na-18,partial,"The report notes Panopoulos is a Greek‑Canadian inventor, which aligns with him being originally from Greece, but it does not state he was a cook or businessman, so only partial support."
msmarco_v2.1_doc_04_420132660,03_01_Baseline,SCIAI,na-19,none,The toppings (pineapple and ham/bacon) are not described.
msmarco_v2.1_doc_04_420132660,03_01_Baseline,SCIAI,na-20,none,No timeline for pizza’s popularity in Canada is given.
msmarco_v2.1_doc_04_420132660,03_01_Baseline,SCIAI,na-21,none,The report does not list other contemporary pizza toppings.
msmarco_v2.1_doc_04_420132660,SCIAI_03_03_Five,SCIAI,na-1,none,none
msmarco_v2.1_doc_04_420132660,SCIAI_03_03_Five,SCIAI,na-2,none,none
msmarco_v2.1_doc_04_420132660,SCIAI_03_03_Five,SCIAI,na-3,none,none
msmarco_v2.1_doc_04_420132660,SCIAI_03_03_Five,SCIAI,na-4,none,none
msmarco_v2.1_doc_04_420132660,SCIAI_03_03_Five,SCIAI,na-5,none,none
msmarco_v2.1_doc_04_420132660,SCIAI_03_03_Five,SCIAI,na-6,none,none
msmarco_v2.1_doc_04_420132660,SCIAI_03_03_Five,SCIAI,na-7,none,none
msmarco_v2.1_doc_04_420132660,SCIAI_03_03_Five,SCIAI,na-8,none,none
msmarco_v2.1_doc_04_420132660,SCIAI_03_03_Five,SCIAI,na-9,supports,The report states that Sam Panopoulos invented Hawaiian pizza in 1962.
msmarco_v2.1_doc_04_420132660,SCIAI_03_03_Five,SCIAI,na-10,supports,"The report specifies the invention took place at the Satellite restaurant in Chatham, Ontario."
msmarco_v2.1_doc_04_420132660,SCIAI_03_03_Five,SCIAI,na-11,supports,It says the pizza was named “Hawaiian” after the brand of canned pineapple used.
msmarco_v2.1_doc_04_420132660,SCIAI_03_03_Five,SCIAI,na-12,partial,"The report does not explicitly say Sam called it “Hawaiian Pizza,” only that it was named after the pineapple brand, so support is partial."
msmarco_v2.1_doc_04_420132660,SCIAI_03_03_Five,SCIAI,na-13,supports,The report claims Hawaiian pizza quickly became popular and is now recognized globally.
msmarco_v2.1_doc_04_420132660,SCIAI_03_03_Five,SCIAI,na-14,none,No statistic about 14% of Americans is provided.
msmarco_v2.1_doc_04_420132660,SCIAI_03_03_Five,SCIAI,na-15,supports,The report notes that people liked the pizza and it gained acceptance.
msmarco_v2.1_doc_04_420132660,SCIAI_03_03_Five,SCIAI,na-16,supports,"It describes the pizza as “highly divisive” and provoking debate, matching the tradition‑break argument."
msmarco_v2.1_doc_04_420132660,SCIAI_03_03_Five,SCIAI,na-17,supports,The same divisive debate aligns with critics saying fruit has no place on pizza.
msmarco_v2.1_doc_04_420132660,SCIAI_03_03_Five,SCIAI,na-18,partial,"The report calls Sam a Greek‑born Canadian restaurateur, which is close but not an explicit “cook and businessman.”"
msmarco_v2.1_doc_04_420132660,SCIAI_03_03_Five,SCIAI,na-19,supports,"It describes the pizza as topped with pineapple, ham, and bacon."
msmarco_v2.1_doc_04_420132660,SCIAI_03_03_Five,SCIAI,na-20,partial,"The article notes pizza was unknown in the 1950s and that the Hawaiian pizza was created in 1962, implying popularity grew in the 1960s, but does not state it directly."
msmarco_v2.1_doc_04_420132660,SCIAI_03_03_Five,SCIAI,na-21,none,"The report mentions limited toppings like canned mushrooms, not sauce and spaghetti."
msmarco_v2.1_doc_04_420132660,cru-clod-ablR-conf_,HLTCOE,na-1,none,none
msmarco_v2.1_doc_04_420132660,cru-clod-ablR-conf_,HLTCOE,na-2,none,The report does not mention Atlas Obscura’s founding or founders.
msmarco_v2.1_doc_04_420132660,cru-clod-ablR-conf_,HLTCOE,na-3,none,No information about cataloguing travel destinations.
msmarco_v2.1_doc_04_420132660,cru-clod-ablR-conf_,HLTCOE,na-4,none,No mention of Atlas Obscura being an online magazine.
msmarco_v2.1_doc_04_420132660,cru-clod-ablR-conf_,HLTCOE,na-5,none,Dan Nosowitz is not referenced.
msmarco_v2.1_doc_04_420132660,cru-clod-ablR-conf_,HLTCOE,na-6,none,No information about Nosowitz’s contributions.
msmarco_v2.1_doc_04_420132660,cru-clod-ablR-conf_,HLTCOE,na-7,none,Nosowitz is not mentioned.
msmarco_v2.1_doc_04_420132660,cru-clod-ablR-conf_,HLTCOE,na-8,none,Nosowitz is not mentioned.
msmarco_v2.1_doc_04_420132660,cru-clod-ablR-conf_,HLTCOE,na-9,supports,"The report states Sam Panopoulos, a Greek‑born Canadian immigrant, invented Hawaiian pizza."
msmarco_v2.1_doc_04_420132660,cru-clod-ablR-conf_,HLTCOE,na-10,supports,"The report specifies the invention took place in Chatham, Ontario."
msmarco_v2.1_doc_04_420132660,cru-clod-ablR-conf_,HLTCOE,na-11,none,No explanation of the name’s origin is given.
msmarco_v2.1_doc_04_420132660,cru-clod-ablR-conf_,HLTCOE,na-12,supports,"The report says Panopoulos invented the “Hawaiian pizza,” implying he named it that."
msmarco_v2.1_doc_04_420132660,cru-clod-ablR-conf_,HLTCOE,na-13,none,Popularity is not discussed.
msmarco_v2.1_doc_04_420132660,cru-clod-ablR-conf_,HLTCOE,na-14,none,No statistics or Pizza Today citation.
msmarco_v2.1_doc_04_420132660,cru-clod-ablR-conf_,HLTCOE,na-15,none,No statement about people liking it.
msmarco_v2.1_doc_04_420132660,cru-clod-ablR-conf_,HLTCOE,na-16,none,No mention of controversy or tradition arguments.
msmarco_v2.1_doc_04_420132660,cru-clod-ablR-conf_,HLTCOE,na-17,none,No discussion of fruit on pizza arguments.
msmarco_v2.1_doc_04_420132660,cru-clod-ablR-conf_,HLTCOE,na-18,partial,"The report notes he was a Greek‑born Canadian cook, but does not mention him being a businessman."
msmarco_v2.1_doc_04_420132660,cru-clod-ablR-conf_,HLTCOE,na-19,none,The toppings (pineapple and ham/bacon) are not described.
msmarco_v2.1_doc_04_420132660,cru-clod-ablR-conf_,HLTCOE,na-20,none,The report does not state when pizza became popular in Canada.
msmarco_v2.1_doc_04_420132660,cru-clod-ablR-conf_,HLTCOE,na-21,none,No information about other contemporary toppings.
msmarco_v2.1_doc_04_420132660,Team02_Run03_100SegmentsNoExpansion,SCIAI,na-1,none,The report mentions Atlas Obscura launching Gastro Obscura but does not state that Atlas Obscura is an American‑based travel and exploration company.
msmarco_v2.1_doc_04_420132660,Team02_Run03_100SegmentsNoExpansion,SCIAI,na-2,none,No information about the 2009 founding or the founders Joshua Foer and Dylan Thuras is provided.
msmarco_v2.1_doc_04_420132660,Team02_Run03_100SegmentsNoExpansion,SCIAI,na-3,none,The report does not say that Atlas Obscura catalogs unusual travel destinations.
msmarco_v2.1_doc_04_420132660,Team02_Run03_100SegmentsNoExpansion,SCIAI,na-4,partial,"The report notes that Atlas Obscura has editorial leadership (e.g., Samir Patel) and that Gastro Obscura is a food‑journalism arm, which hints at an online magazine with an editorial team, but it does not explicitly call Atlas Obscura an online magazine."
msmarco_v2.1_doc_04_420132660,Team02_Run03_100SegmentsNoExpansion,SCIAI,na-5,none,The report gives no location (Los Angeles) for Dan Nosowitz.
msmarco_v2.1_doc_04_420132660,Team02_Run03_100SegmentsNoExpansion,SCIAI,na-6,partial,"The report mentions Nosowitz’s work for Modern Farmer, matching part of the answer, but does not list the other outlets."
msmarco_v2.1_doc_04_420132660,Team02_Run03_100SegmentsNoExpansion,SCIAI,na-7,none,The report does not describe Nosowitz as a freelance writer/editor.
msmarco_v2.1_doc_04_420132660,Team02_Run03_100SegmentsNoExpansion,SCIAI,na-8,none,Same as above – no mention of freelance status.
msmarco_v2.1_doc_04_420132660,Team02_Run03_100SegmentsNoExpansion,SCIAI,na-9,partial,"The report identifies Sam Panopoulos as the inventor of Hawaiian pizza, but does not note his Greek‑born Canadian immigrant background."
msmarco_v2.1_doc_04_420132660,Team02_Run03_100SegmentsNoExpansion,SCIAI,na-10,partial,"The report says the invention occurred at the Satellite Diner, but does not explicitly state the city (Chatham, Ontario)."
msmarco_v2.1_doc_04_420132660,Team02_Run03_100SegmentsNoExpansion,SCIAI,na-11,supports,"The report says Panopoulos named the pizza after the brand of canned pineapple he used, matching the explanation that the name came from the “Hawaiian” brand."
msmarco_v2.1_doc_04_420132660,Team02_Run03_100SegmentsNoExpansion,SCIAI,na-12,supports,The report indicates that Panopoulos himself gave the pizza the name “Hawaiian Pizza.”
msmarco_v2.1_doc_04_420132660,Team02_Run03_100SegmentsNoExpansion,SCIAI,na-13,none,No claim about worldwide popularity is made.
msmarco_v2.1_doc_04_420132660,Team02_Run03_100SegmentsNoExpansion,SCIAI,na-14,none,No reference to Pizza Today or the 14 % statistic.
msmarco_v2.1_doc_04_420132660,Team02_Run03_100SegmentsNoExpansion,SCIAI,na-15,none,The report discusses controversy but does not state that people liked it.
msmarco_v2.1_doc_04_420132660,Team02_Run03_100SegmentsNoExpansion,SCIAI,na-16,partial,"The report mentions debates over whether pineapple belongs on pizza, which aligns with the tradition‑breaking argument, but does not explicitly cite tradition as the main reason."
msmarco_v2.1_doc_04_420132660,Team02_Run03_100SegmentsNoExpansion,SCIAI,na-17,none,No mention that fruit has no place on pizza.
msmarco_v2.1_doc_04_420132660,Team02_Run03_100SegmentsNoExpansion,SCIAI,na-18,partial,"The report shows Panopoulos ran a restaurant (implying he was a cook/businessman) and was Canadian, but does not mention his Greek origin."
msmarco_v2.1_doc_04_420132660,Team02_Run03_100SegmentsNoExpansion,SCIAI,na-19,supports,"The report describes the pizza as ham and pineapple on cheese, matching the definition."
msmarco_v2.1_doc_04_420132660,Team02_Run03_100SegmentsNoExpansion,SCIAI,na-20,none,The report does not give a specific timeframe for pizza’s rise in Canada.
msmarco_v2.1_doc_04_420132660,Team02_Run03_100SegmentsNoExpansion,SCIAI,na-21,none,No information about other contemporary toppings such as sauce and spaghetti.
msmarco_v2.1_doc_04_420132660,garamp_dragun_t2_q7b,DUTH_XANTHI,na-1,none,none
msmarco_v2.1_doc_04_420132660,garamp_dragun_t2_q7b,DUTH_XANTHI,na-2,none,none
msmarco_v2.1_doc_04_420132660,garamp_dragun_t2_q7b,DUTH_XANTHI,na-3,none,none
msmarco_v2.1_doc_04_420132660,garamp_dragun_t2_q7b,DUTH_XANTHI,na-4,none,none
msmarco_v2.1_doc_04_420132660,garamp_dragun_t2_q7b,DUTH_XANTHI,na-5,none,none
msmarco_v2.1_doc_04_420132660,garamp_dragun_t2_q7b,DUTH_XANTHI,na-6,none,none
msmarco_v2.1_doc_04_420132660,garamp_dragun_t2_q7b,DUTH_XANTHI,na-7,none,none
msmarco_v2.1_doc_04_420132660,garamp_dragun_t2_q7b,DUTH_XANTHI,na-8,none,none
msmarco_v2.1_doc_04_420132660,garamp_dragun_t2_q7b,DUTH_XANTHI,na-9,none,none
msmarco_v2.1_doc_04_420132660,garamp_dragun_t2_q7b,DUTH_XANTHI,na-10,none,none
msmarco_v2.1_doc_04_420132660,garamp_dragun_t2_q7b,DUTH_XANTHI,na-11,none,none
msmarco_v2.1_doc_04_420132660,garamp_dragun_t2_q7b,DUTH_XANTHI,na-12,none,none
msmarco_v2.1_doc_04_420132660,garamp_dragun_t2_q7b,DUTH_XANTHI,na-13,none,none
msmarco_v2.1_doc_04_420132660,garamp_dragun_t2_q7b,DUTH_XANTHI,na-14,none,none
msmarco_v2.1_doc_04_420132660,garamp_dragun_t2_q7b,DUTH_XANTHI,na-15,none,none
msmarco_v2.1_doc_04_420132660,garamp_dragun_t2_q7b,DUTH_XANTHI,na-16,none,none
msmarco_v2.1_doc_04_420132660,garamp_dragun_t2_q7b,DUTH_XANTHI,na-17,none,none
msmarco_v2.1_doc_04_420132660,garamp_dragun_t2_q7b,DUTH_XANTHI,na-18,none,none
msmarco_v2.1_doc_04_420132660,garamp_dragun_t2_q7b,DUTH_XANTHI,na-19,none,none
msmarco_v2.1_doc_04_420132660,garamp_dragun_t2_q7b,DUTH_XANTHI,na-20,none,none
msmarco_v2.1_doc_04_420132660,garamp_dragun_t2_q7b,DUTH_XANTHI,na-21,none,none
msmarco_v2.1_doc_04_420132660,Team02_Run01_1000SegmentsExpansion,SCIAI,na-1,none,The report does not state that Atlas Obscura is an American‑based travel and exploration company.
msmarco_v2.1_doc_04_420132660,Team02_Run01_1000SegmentsExpansion,SCIAI,na-2,none,No mention of the 2009 founding or its founders.
msmarco_v2.1_doc_04_420132660,Team02_Run01_1000SegmentsExpansion,SCIAI,na-3,none,The report does not describe Atlas Obscura’s cataloguing of unusual travel destinations.
msmarco_v2.1_doc_04_420132660,Team02_Run01_1000SegmentsExpansion,SCIAI,na-4,partial,"The report notes that Gastro Obscura is a section of Atlas Obscura and references editorial leadership (Samir Patel, Sommer Mathis), which aligns with it being an online magazine with an editorial team."
msmarco_v2.1_doc_04_420132660,Team02_Run01_1000SegmentsExpansion,SCIAI,na-5,none,Dan Nosowitz is not mentioned.
msmarco_v2.1_doc_04_420132660,Team02_Run01_1000SegmentsExpansion,SCIAI,na-6,none,No information about Nosowitz’s Los Angeles base.
msmarco_v2.1_doc_04_420132660,Team02_Run01_1000SegmentsExpansion,SCIAI,na-7,none,No information about Nosowitz’s contributions to other outlets.
msmarco_v2.1_doc_04_420132660,Team02_Run01_1000SegmentsExpansion,SCIAI,na-8,none,No information about Nosowitz’s freelance status.
msmarco_v2.1_doc_04_420132660,Team02_Run01_1000SegmentsExpansion,SCIAI,na-9,supports,The report states that Panopoulos invented Hawaiian pizza in 1962.
msmarco_v2.1_doc_04_420132660,Team02_Run01_1000SegmentsExpansion,SCIAI,na-10,supports,"It specifies the invention occurred at the Satellite Restaurant in Chatham, Ontario."
msmarco_v2.1_doc_04_420132660,Team02_Run01_1000SegmentsExpansion,SCIAI,na-11,supports,"The report says the pizza was named after the canned pineapple brand he used, matching the brand‑named origin."
msmarco_v2.1_doc_04_420132660,Team02_Run01_1000SegmentsExpansion,SCIAI,na-12,supports,It indicates Panopoulos gave the pizza its name (by naming it after the Hawaiian‑branded pineapple).
msmarco_v2.1_doc_04_420132660,Team02_Run01_1000SegmentsExpansion,SCIAI,na-13,none,No claim about worldwide popularity is made.
msmarco_v2.1_doc_04_420132660,Team02_Run01_1000SegmentsExpansion,SCIAI,na-14,none,No statistics from Pizza Today are provided.
msmarco_v2.1_doc_04_420132660,Team02_Run01_1000SegmentsExpansion,SCIAI,na-15,none,"The report discusses controversy, not general liking."
msmarco_v2.1_doc_04_420132660,Team02_Run01_1000SegmentsExpansion,SCIAI,na-16,none,"While controversy is mentioned, the specific argument about breaking tradition is not."
msmarco_v2.1_doc_04_420132660,Team02_Run01_1000SegmentsExpansion,SCIAI,na-17,none,No mention of the fruit‑on‑pizza argument.
msmarco_v2.1_doc_04_420132660,Team02_Run01_1000SegmentsExpansion,SCIAI,na-18,partial,The report notes Sam manages a restaurant (business) but does not mention his Greek origin.
msmarco_v2.1_doc_04_420132660,Team02_Run01_1000SegmentsExpansion,SCIAI,na-19,supports,It describes the pizza as having ham and pineapple on cheese pizza.
msmarco_v2.1_doc_04_420132660,Team02_Run01_1000SegmentsExpansion,SCIAI,na-20,partial,"The report says pizza popularity surged post‑World War II, which includes the 1960s but does not pinpoint that decade."
msmarco_v2.1_doc_04_420132660,Team02_Run01_1000SegmentsExpansion,SCIAI,na-21,none,No other toppings from that era are listed.
msmarco_v2.1_doc_04_420132660,SCIAI_03_02_Three,SCIAI,na-1,none,The report does not mention Atlas Obscura at all.
msmarco_v2.1_doc_04_420132660,SCIAI_03_02_Three,SCIAI,na-2,none,No information about Atlas Obscura’s founding is provided.
msmarco_v2.1_doc_04_420132660,SCIAI_03_02_Three,SCIAI,na-3,none,The report contains no description of Atlas Obscura’s cataloging activity.
msmarco_v2.1_doc_04_420132660,SCIAI_03_02_Three,SCIAI,na-4,none,Atlas Obscura is not referenced in the report.
msmarco_v2.1_doc_04_420132660,SCIAI_03_02_Three,SCIAI,na-5,none,Dan Nosowitz is not mentioned.
msmarco_v2.1_doc_04_420132660,SCIAI_03_02_Three,SCIAI,na-6,none,No reference to Nosowitz’s writing credits.
msmarco_v2.1_doc_04_420132660,SCIAI_03_02_Three,SCIAI,na-7,none,The report does not discuss Nosowitz’s employment status.
msmarco_v2.1_doc_04_420132660,SCIAI_03_02_Three,SCIAI,na-8,none,No information about Nosowitz is present.
msmarco_v2.1_doc_04_420132660,SCIAI_03_02_Three,SCIAI,na-9,supports,"The report states that Sam Panopoulos, a Greek immigrant, invented Hawaiian pizza in 1962."
msmarco_v2.1_doc_04_420132660,SCIAI_03_02_Three,SCIAI,na-10,supports,"It specifies the invention took place at the Satellite Restaurant in Chatham, Ontario."
msmarco_v2.1_doc_04_420132660,SCIAI_03_02_Three,SCIAI,na-11,supports,The report says Panopoulos named the pizza “Hawaiian” after the brand of canned pineapple used.
msmarco_v2.1_doc_04_420132660,SCIAI_03_02_Three,SCIAI,na-12,supports,It notes that the inventor himself called it “Hawaiian Pizza.”
msmarco_v2.1_doc_04_420132660,SCIAI_03_02_Three,SCIAI,na-13,partial,"The report mentions the pizza spread worldwide and gained acceptance, but does not explicitly claim it is “one of the most popular pizzas in the world.”"
msmarco_v2.1_doc_04_420132660,SCIAI_03_02_Three,SCIAI,na-14,none,No statistics from Pizza Today are provided.
msmarco_v2.1_doc_04_420132660,SCIAI_03_02_Three,SCIAI,na-15,partial,"The text notes that the pizza eventually gained acceptance and is enjoyed, indicating some people liked it, though it also notes controversy."
msmarco_v2.1_doc_04_420132660,SCIAI_03_02_Three,SCIAI,na-16,none,The report says the pizza is controversial but does not give the traditional‑vs‑fruit argument.
msmarco_v2.1_doc_04_420132660,SCIAI_03_02_Three,SCIAI,na-17,none,No specific criticism about fruit on pizza is mentioned.
msmarco_v2.1_doc_04_420132660,SCIAI_03_02_Three,SCIAI,na-18,partial,"The report identifies Panopoulos as a Greek immigrant who ran the Satellite Restaurant, implying he was a Canadian cook/businessman, but does not explicitly label him a businessman."
msmarco_v2.1_doc_04_420132660,SCIAI_03_02_Three,SCIAI,na-19,partial,"The description includes pineapple but does not mention ham or bacon, so it only partially matches the definition."
msmarco_v2.1_doc_04_420132660,SCIAI_03_02_Three,SCIAI,na-20,partial,"The narrative places the introduction of pizza in Canada in the early 1960s, suggesting popularity grew then, but does not state it outright."
msmarco_v2.1_doc_04_420132660,SCIAI_03_02_Three,SCIAI,na-21,none,"The report lists other 1960s toppings (mushroom, bacon, pepperoni) but not “sauce and spaghetti,” so it does not support the given answer."
msmarco_v2.1_doc_04_420132660,Team01_Run01_Winner,SCIAI,na-1,none,none
msmarco_v2.1_doc_04_420132660,Team01_Run01_Winner,SCIAI,na-2,none,The report does not mention the founding year or founders.
msmarco_v2.1_doc_04_420132660,Team01_Run01_Winner,SCIAI,na-3,partial,"The report says Atlas Obscura explores unusual, obscure foods worldwide, which loosely matches the idea of cataloguing unusual content, but it does not mention travel destinations or user‑generated content."
msmarco_v2.1_doc_04_420132660,Team01_Run01_Winner,SCIAI,na-4,none,No mention of Atlas Obscura being an online magazine or of editorial review.
msmarco_v2.1_doc_04_420132660,Team01_Run01_Winner,SCIAI,na-5,none,Dan Nosowitz is not referenced.
msmarco_v2.1_doc_04_420132660,Team01_Run01_Winner,SCIAI,na-6,none,Dan Nosowitz is not referenced.
msmarco_v2.1_doc_04_420132660,Team01_Run01_Winner,SCIAI,na-7,none,Dan Nosowitz is not referenced.
msmarco_v2.1_doc_04_420132660,Team01_Run01_Winner,SCIAI,na-8,none,Dan Nosowitz is not referenced.
msmarco_v2.1_doc_04_420132660,Team01_Run01_Winner,SCIAI,na-9,supports,"The report explicitly states that Sam Panopoulos, a Greek‑born Canadian, invented Hawaiian pizza."
msmarco_v2.1_doc_04_420132660,Team01_Run01_Winner,SCIAI,na-10,supports,"The report specifies the invention took place at the Satellite Restaurant in Chatham, Ontario."
msmarco_v2.1_doc_04_420132660,Team01_Run01_Winner,SCIAI,na-11,supports,The report says the name came from the brand of canned pineapple labeled “Hawaiian.”
msmarco_v2.1_doc_04_420132660,Team01_Run01_Winner,SCIAI,na-12,none,The report does not state that Sam Panopoulos himself called it “Hawaiian Pizza.”
msmarco_v2.1_doc_04_420132660,Team01_Run01_Winner,SCIAI,na-13,none,No claim that it is one of the world’s most popular pizzas.
msmarco_v2.1_doc_04_420132660,Team01_Run01_Winner,SCIAI,na-14,none,"The report gives a 12 % statistic, not the 14 % figure asked for."
msmarco_v2.1_doc_04_420132660,Team01_Run01_Winner,SCIAI,na-15,none,The report mentions the pizza is divisive; it does not simply say people liked it.
msmarco_v2.1_doc_04_420132660,Team01_Run01_Winner,SCIAI,na-16,none,No discussion of tradition‑breaking arguments.
msmarco_v2.1_doc_04_420132660,Team01_Run01_Winner,SCIAI,na-17,none,No mention of the “fruit has no place on pizza” argument.
msmarco_v2.1_doc_04_420132660,Team01_Run01_Winner,SCIAI,na-18,partial,"The report notes he is a Greek‑born Canadian, but does not mention his role as a cook or businessman."
msmarco_v2.1_doc_04_420132660,Team01_Run01_Winner,SCIAI,na-19,supports,"The report lists pineapple, ham, bacon (and cheese) as the original toppings."
msmarco_v2.1_doc_04_420132660,Team01_Run01_Winner,SCIAI,na-20,none,No information about when pizza became popular in Canada.
msmarco_v2.1_doc_04_420132660,Team01_Run01_Winner,SCIAI,na-21,none,No mention of other contemporary toppings such as sauce and spaghetti.
msmarco_v2.1_doc_04_420132660,cursor-report,cycraft,na-1,partial,partial
msmarco_v2.1_doc_04_420132660,cursor-report,cycraft,na-2,none,none
msmarco_v2.1_doc_04_420132660,cursor-report,cycraft,na-3,partial,partial
msmarco_v2.1_doc_04_420132660,cursor-report,cycraft,na-4,partial,partial
msmarco_v2.1_doc_04_420132660,cursor-report,cycraft,na-5,none,none
msmarco_v2.1_doc_04_420132660,cursor-report,cycraft,na-6,partial,partial
msmarco_v2.1_doc_04_420132660,cursor-report,cycraft,na-7,none,none
msmarco_v2.1_doc_04_420132660,cursor-report,cycraft,na-8,none,none
msmarco_v2.1_doc_04_420132660,cursor-report,cycraft,na-9,supports,supports
msmarco_v2.1_doc_04_420132660,cursor-report,cycraft,na-10,supports,supports
msmarco_v2.1_doc_04_420132660,cursor-report,cycraft,na-11,none,none
msmarco_v2.1_doc_04_420132660,cursor-report,cycraft,na-12,none,none
msmarco_v2.1_doc_04_420132660,cursor-report,cycraft,na-13,none,none
msmarco_v2.1_doc_04_420132660,cursor-report,cycraft,na-14,none,none
msmarco_v2.1_doc_04_420132660,cursor-report,cycraft,na-15,none,none
msmarco_v2.1_doc_04_420132660,cursor-report,cycraft,na-16,none,none
msmarco_v2.1_doc_04_420132660,cursor-report,cycraft,na-17,none,none
msmarco_v2.1_doc_04_420132660,cursor-report,cycraft,na-18,partial,partial
msmarco_v2.1_doc_04_420132660,cursor-report,cycraft,na-19,none,none
msmarco_v2.1_doc_04_420132660,cursor-report,cycraft,na-20,none,none
msmarco_v2.1_doc_04_420132660,cursor-report,cycraft,na-21,none,none
msmarco_v2.1_doc_04_420132660,garamp_yi9b_t2_v1,DUTH_XANTHI,na-1,none,none
msmarco_v2.1_doc_04_420132660,garamp_yi9b_t2_v1,DUTH_XANTHI,na-2,none,none
msmarco_v2.1_doc_04_420132660,garamp_yi9b_t2_v1,DUTH_XANTHI,na-3,none,none
msmarco_v2.1_doc_04_420132660,garamp_yi9b_t2_v1,DUTH_XANTHI,na-4,none,none
msmarco_v2.1_doc_04_420132660,garamp_yi9b_t2_v1,DUTH_XANTHI,na-5,none,none
msmarco_v2.1_doc_04_420132660,garamp_yi9b_t2_v1,DUTH_XANTHI,na-6,none,none
msmarco_v2.1_doc_04_420132660,garamp_yi9b_t2_v1,DUTH_XANTHI,na-7,none,none
msmarco_v2.1_doc_04_420132660,garamp_yi9b_t2_v1,DUTH_XANTHI,na-8,none,none
msmarco_v2.1_doc_04_420132660,garamp_yi9b_t2_v1,DUTH_XANTHI,na-9,none,none
msmarco_v2.1_doc_04_420132660,garamp_yi9b_t2_v1,DUTH_XANTHI,na-10,none,none
msmarco_v2.1_doc_04_420132660,garamp_yi9b_t2_v1,DUTH_XANTHI,na-11,none,none
msmarco_v2.1_doc_04_420132660,garamp_yi9b_t2_v1,DUTH_XANTHI,na-12,none,none
msmarco_v2.1_doc_04_420132660,garamp_yi9b_t2_v1,DUTH_XANTHI,na-13,none,none
msmarco_v2.1_doc_04_420132660,garamp_yi9b_t2_v1,DUTH_XANTHI,na-14,none,none
msmarco_v2.1_doc_04_420132660,garamp_yi9b_t2_v1,DUTH_XANTHI,na-15,none,none
msmarco_v2.1_doc_04_420132660,garamp_yi9b_t2_v1,DUTH_XANTHI,na-16,none,none
msmarco_v2.1_doc_04_420132660,garamp_yi9b_t2_v1,DUTH_XANTHI,na-17,none,none
msmarco_v2.1_doc_04_420132660,garamp_yi9b_t2_v1,DUTH_XANTHI,na-18,none,none
msmarco_v2.1_doc_04_420132660,garamp_yi9b_t2_v1,DUTH_XANTHI,na-19,none,none
msmarco_v2.1_doc_04_420132660,garamp_yi9b_t2_v1,DUTH_XANTHI,na-20,none,none
msmarco_v2.1_doc_04_420132660,garamp_yi9b_t2_v1,DUTH_XANTHI,na-21,none,none
msmarco_v2.1_doc_04_420132660,cru-cloch-ablR-conf_,HLTCOE,na-1,none,none
msmarco_v2.1_doc_04_420132660,cru-cloch-ablR-conf_,HLTCOE,na-2,none,"The report does not mention Atlas Obscura’s founding, mission, or format."
msmarco_v2.1_doc_04_420132660,cru-cloch-ablR-conf_,HLTCOE,na-3,none,No information about cataloguing unusual destinations.
